,gnn_time,best_loss,final_loss,size_mis,number_violations,config/dim_embedding,config/dropout,config/hidden_dim,config/lr,config/model
0,56.57881426811218,0.0,0.0,0.0,0,22,0.0,11,0.001,GCN_2L_Model
1,817.9637355804443,-17.999988555908203,-18.0,18.0,0,22,0.05,11,0.001,GCN_2L_Model
2,832.9762437343597,-19.0,-19.0,19.0,0,22,0.1,11,0.001,GCN_2L_Model
3,166.25363993644714,0.0,0.0,0.0,0,22,0.0,11,0.0001,GCN_2L_Model
4,849.5170006752014,-16.98765754699707,-17.0,17.0,0,22,0.05,11,0.0001,GCN_2L_Model
5,788.9846093654633,-16.98465919494629,-17.0,17.0,0,22,0.1,11,0.0001,GCN_2L_Model
6,46.95914578437805,-2.9853339195251465,-3.0,3.0,0,22,0.0,11,0.001,SAGE_2L_Model
7,1151.588803768158,-37.0,-33.0,37.0,0,22,0.05,11,0.001,SAGE_2L_Model
8,1159.4965064525604,-35.0,-33.0,35.0,0,22,0.1,11,0.001,SAGE_2L_Model
9,65.15913438796997,-21.979820251464844,-22.0,22.0,0,22,0.0,11,0.0001,SAGE_2L_Model
10,1074.986927986145,-38.984188079833984,-38.0,39.0,0,22,0.05,11,0.0001,SAGE_2L_Model
11,18.025753021240234,-8.693166325679512e-11,0.0,0.0,0,22,0.1,11,0.0001,SAGE_2L_Model
12,176.9587118625641,0.0,0.0,0.0,0,22,0.0,11,0.001,GAT_2L_1H_Model
13,1861.3287434577944,-1.0003774166107178,-1.0,3.0,0,22,0.05,11,0.001,GAT_2L_1H_Model
14,2625.355923652649,-13.99385929107666,-13.0,14.0,0,22,0.1,11,0.001,GAT_2L_1H_Model
15,500.5479362010956,0.0,0.0,0.0,0,22,0.0,11,0.0001,GAT_2L_1H_Model
16,2605.0357670784,-11.75344467163086,-7.0,12.0,0,22,0.05,11,0.0001,GAT_2L_1H_Model
17,2343.576038122177,-10.918164253234863,-10.0,11.0,0,22,0.1,11,0.0001,GAT_2L_1H_Model
18,134.57338762283325,0.0,0.0,0.0,0,22,0.0,11,0.001,GAT_2L_2H_Model
19,3706.611708641052,-9.831266403198242,-9.0,10.0,0,22,0.05,11,0.001,GAT_2L_2H_Model
20,3374.619823932648,-29.999446868896484,-30.0,30.0,0,22,0.1,11,0.001,GAT_2L_2H_Model
21,725.2652003765106,0.0,0.0,0.0,0,22,0.0,11,0.0001,GAT_2L_2H_Model
22,3402.643432378769,-11.005606651306152,-11.0,11.0,0,22,0.05,11,0.0001,GAT_2L_2H_Model
23,3367.0315554142,-14.358311653137209,-12.0,15.0,0,22,0.1,11,0.0001,GAT_2L_2H_Model
24,351.59713530540466,0.0,0.0,0.0,0,22,0.0,11,0.001,GAT_2L_4H_Model
25,2204.786983013153,-0.0002140811848221,0.0,0.0,0,22,0.05,11,0.001,GAT_2L_4H_Model
26,2186.7581899166107,-0.0050068236887454,0.0,0.0,0,22,0.1,11,0.001,GAT_2L_4H_Model
27,946.2979667186736,0.0,0.0,0.0,0,22,0.0,11,0.0001,GAT_2L_4H_Model
28,4759.508397579193,-16.977184295654297,-17.0,17.0,0,22,0.05,11,0.0001,GAT_2L_4H_Model
29,4563.145912885666,-11.99551773071289,-12.0,12.0,0,22,0.1,11,0.0001,GAT_2L_4H_Model
30,84.30194854736328,0.0,0.0,0.0,0,22,0.0,11,0.001,GCN_1L_Model
31,659.0213048458099,-18.0000057220459,-18.0,18.0,0,22,0.05,11,0.001,GCN_1L_Model
32,665.0176556110382,-25.999656677246094,-25.0,26.0,0,22,0.1,11,0.001,GCN_1L_Model
33,168.92651677131653,-0.1411493271589279,0.0,0.0,0,22,0.0,11,0.0001,GCN_1L_Model
34,681.8001160621643,-22.996273040771484,-23.0,23.0,0,22,0.05,11,0.0001,GCN_1L_Model
35,712.9377672672272,-21.600563049316406,-21.0,22.0,0,22,0.1,11,0.0001,GCN_1L_Model
36,86.78049206733704,-7.958990097045898,-8.0,8.0,0,22,0.0,11,0.001,SAGE_1L_Model
37,811.0178985595703,-30.0,-30.0,30.0,0,22,0.05,11,0.001,SAGE_1L_Model
38,648.0370125770569,-33.0,-33.0,33.0,0,22,0.1,11,0.001,SAGE_1L_Model
39,197.74094128608704,-20.98118782043457,-21.0,21.0,0,22,0.0,11,0.0001,SAGE_1L_Model
40,923.905858039856,-32.22127151489258,-32.0,32.0,0,22,0.05,11,0.0001,SAGE_1L_Model
41,927.8977468013765,-25.63202667236328,-25.0,26.0,0,22,0.1,11,0.0001,SAGE_1L_Model
42,238.7199764251709,-13.922127723693848,-14.0,14.0,0,22,0.0,11,0.001,GAT_1L_1H_Model
43,1208.1445355415344,-15.17834758758545,-15.0,15.0,0,22,0.05,11,0.001,GAT_1L_1H_Model
44,1638.5390775203705,-30.000009536743164,-30.0,30.0,0,22,0.1,11,0.001,GAT_1L_1H_Model
45,301.90180015563965,-0.3732048273086548,0.0,0.0,0,22,0.0,11,0.0001,GAT_1L_1H_Model
46,1431.1997511386871,-17.00672149658203,-17.0,17.0,0,22,0.05,11,0.0001,GAT_1L_1H_Model
47,1567.3001689910889,-18.753812789916992,-18.0,19.0,0,22,0.1,11,0.0001,GAT_1L_1H_Model
48,385.79268622398376,-21.98892593383789,-22.0,22.0,0,22,0.0,11,0.001,GAT_1L_2H_Model
49,2064.490721464157,-36.0,-36.0,36.0,0,22,0.05,11,0.001,GAT_1L_2H_Model
50,2027.0375082492828,-27.63784408569336,-27.0,28.0,0,22,0.1,11,0.001,GAT_1L_2H_Model
51,754.2153778076172,-20.974401473999023,-21.0,21.0,0,22,0.0,11,0.0001,GAT_1L_2H_Model
52,2015.4459216594696,-22.24032974243164,-22.0,22.0,0,22,0.05,11,0.0001,GAT_1L_2H_Model
53,1975.9192624092104,-33.022212982177734,-33.0,33.0,0,22,0.1,11,0.0001,GAT_1L_2H_Model
54,249.28035259246823,0.0,0.0,0.0,0,22,0.0,11,0.001,GAT_1L_4H_Model
55,2124.383074998856,-33.0,-33.0,33.0,0,22,0.05,11,0.001,GAT_1L_4H_Model
56,1844.9873867034912,-32.001502990722656,-32.0,32.0,0,22,0.1,11,0.001,GAT_1L_4H_Model
57,1170.605026960373,-27.975658416748047,-28.0,28.0,0,22,0.0,11,0.0001,GAT_1L_4H_Model
58,2286.616803884506,-33.00005340576172,-33.0,33.0,0,22,0.05,11,0.0001,GAT_1L_4H_Model
59,2247.613049507141,-29.024940490722656,-29.0,29.0,0,22,0.1,11,0.0001,GAT_1L_4H_Model
